id,h_dng_cd,year,month,sex,age,population
544,36110340,2017,1,M,65,4969.630882
545,36110340,2017,1,M,70,2520.921044
546,36110340,2017,1,M,75,2439.514727
547,36110340,2017,2,F,15,1846.888056
548,36110340,2017,2,F,20,2371.082247
549,36110340,2017,2,F,25,3054.938504
550,36110340,2017,2,F,30,3362.325299
551,36110340,2017,2,F,35,4576.037187
552,36110340,2017,2,F,40,4677.733669
553,36110340,2017,2,F,45,5143.747587
554,36110340,2017,2,F,50,5764.907694
555,36110340,2017,2,F,55,6697.088563
556,36110340,2017,2,F,60,5200.826183
557,36110340,2017,2,F,65,2975.601737
558,36110340,2017,2,F,70,2737.397284
559,36110340,2017,2,F,75,3200.16628
560,36110340,2017,2,M,15,2557.542613
561,36110340,2017,2,M,20,4898.699723
562,36110340,2017,2,M,25,4402.038896
563,36110340,2017,2,M,30,4786.037173
564,36110340,2017,2,M,35,6468.183414
565,36110340,2017,2,M,40,7826.688667
566,36110340,2017,2,M,45,9016.835765
567,36110340,2017,2,M,50,9552.911669
568,36110340,2017,2,M,55,9882.686258
569,36110340,2017,2,M,60,7410.900477
570,36110340,2017,2,M,65,4675.380194
571,36110340,2017,2,M,70,2557.555061
572,36110340,2017,2,M,75,2414.293388
573,36110340,2017,3,F,15,1370.524924
574,36110340,2017,3,F,20,2044.965149
575,36110340,2017,3,F,25,2834.478278
576,36110340,2017,3,F,30,3113.475539
577,36110340,2017,3,F,35,4465.597843
578,36110340,2017,3,F,40,4308.270151
579,36110340,2017,3,F,45,4842.443673
580,36110340,2017,3,F,50,5494.428352
581,36110340,2017,3,F,55,6454.820532
582,36110340,2017,3,F,60,4918.835049
583,36110340,2017,3,F,65,3025.283712
584,36110340,2017,3,F,70,2412.170881
585,36110340,2017,3,F,75,2691.472986
586,36110340,2017,3,M,15,1980.183425
587,36110340,2017,3,M,20,4101.780258
588,36110340,2017,3,M,25,4242.762103
589,36110340,2017,3,M,30,4534.451163
590,36110340,2017,3,M,35,6412.542475
591,36110340,2017,3,M,40,7224.561132
592,36110340,2017,3,M,45,8444.311834
593,36110340,2017,3,M,50,8821.869613
594,36110340,2017,3,M,55,9669.121781
595,36110340,2017,3,M,60,7373.817803
596,36110340,2017,3,M,65,4339.684547
597,36110340,2017,3,M,70,2168.854075
598,36110340,2017,3,M,75,2215.717473
599,36110340,2017,4,F,15,1594.617115
600,36110340,2017,4,F,20,2439.355671
601,36110340,2017,4,F,25,3226.111825
602,36110340,2017,4,F,30,3513.396973
603,36110340,2017,4,F,35,4883.082079
604,36110340,2017,4,F,40,4881.437693
605,36110340,2017,4,F,45,5463.141272
606,36110340,2017,4,F,50,6190.879343
607,36110340,2017,4,F,55,7000.252111
608,36110340,2017,4,F,60,5337.976239
609,36110340,2017,4,F,65,3360.543763
610,36110340,2017,4,F,70,2579.191893
611,36110340,2017,4,F,75,3296.493931
612,36110340,2017,4,M,15,2196.635269
613,36110340,2017,4,M,20,4215.054098
614,36110340,2017,4,M,25,4309.827533
615,36110340,2017,4,M,30,4912.905545
616,36110340,2017,4,M,35,6711.834956
617,36110340,2017,4,M,40,7882.564486
618,36110340,2017,4,M,45,9001.989835
619,36110340,2017,4,M,50,9634.107118
620,36110340,2017,4,M,55,10399.51157
621,36110340,2017,4,M,60,8045.84423
622,36110340,2017,4,M,65,4884.215239
623,36110340,2017,4,M,70,2330.723788
624,36110340,2017,4,M,75,2481.553202
625,36110340,2017,5,F,15,1874.401772
626,36110340,2017,5,F,20,2416.942986
627,36110340,2017,5,F,25,3293.945183
628,36110340,2017,5,F,30,3599.606429
629,36110340,2017,5,F,35,5064.202327
630,36110340,2017,5,F,40,5209.525716
631,36110340,2017,5,F,45,5689.392499
632,36110340,2017,5,F,50,6140.900532
633,36110340,2017,5,F,55,6999.713427
634,36110340,2017,5,F,60,5399.482744
635,36110340,2017,5,F,65,3358.321089
636,36110340,2017,5,F,70,2716.620324
637,36110340,2017,5,F,75,3367.097739
638,36110340,2017,5,M,15,2169.205597
639,36110340,2017,5,M,20,5107.939152
640,36110340,2017,5,M,25,4747.212342
641,36110340,2017,5,M,30,5061.735658
642,36110340,2017,5,M,35,6745.230761
643,36110340,2017,5,M,40,7995.540078
644,36110340,2017,5,M,45,9182.362376
645,36110340,2017,5,M,50,9697.861234
646,36110340,2017,5,M,55,10651.9504
