year,month,h_dng_cd,population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,living_sector_revenue,d_sum,n_sum
2018,7,36110530,394918.5743989999,23782,27116,27602,9953655355,20233,20680
2018,7,36110540,290565.11488900014,29782,34749,35299,10313474542,25624,26150
2018,7,36110550,426413.2305709999,27151,30891,31455,7353542977,22879,23403
2018,7,36110560,609122.2475429999,34171,40389,40983,11781148931,29753,30334
2018,8,36110250,884162.8921399999,43023,34496,37128,24722460432,34496,37128
2018,8,36110310,367853.343644,2522,14730,10346,2102734728,14730,10346
2018,8,36110320,105675.694127,2997,4405,2750,997387867,4405,2750
2018,8,36110330,164275.79808399998,6000,9251,6069,6376855083,9251,6069
2018,8,36110340,124104.47752699998,8542,13069,12970,4853380864,9409,8168
2018,8,36110350,255583.11052199997,5839,8981,8940,6335608589,10900,12497
2018,8,36110360,230358.05951,7260,10613,10376,4753838084,10613,10376
2018,8,36110370,177751.976643,5699,8684,5989,2568289662,8684,5989
2018,8,36110380,72072.54384900001,3466,3225,2263,761636896,3225,2263
2018,8,36110390,42463.82503800002,2535,1933,1673,2555764718,1933,1673
2018,8,36110510,287943.735975,19166,22509,22764,15047571017,16631,16880
2018,8,36110515,915137.468049,43337,51813,52463,18072399600,38464,39094
2018,8,36110520,656079.3039930001,31700,38609,39005,28602532766,28417,28814
2018,8,36110530,432619.18811099994,23679,26922,27334,10194780912,20177,20548
2018,8,36110540,315193.18316400005,29732,34563,35049,10699911361,25613,26072
2018,8,36110550,462410.16234900005,27541,31190,31704,7552096352,23227,23694
2018,8,36110560,704982.0316260002,35789,42210,42779,12204894873,31218,31764
2018,9,36110250,1020352.6749600001,43215,40797,43141,27468970254,40797,43141
2018,9,36110310,375007.16827,2525,14341,10184,2130241907,14341,10184
2018,9,36110320,106596.54835499999,2976,4585,2751,929035073,4585,2751
2018,9,36110330,172687.146394,5975,9358,6120,5803099253,9358,6120
2018,9,36110340,117259.872067,8476,13183,12986,4769994250,9707,8324
2018,9,36110350,331788.608773,5812,9119,9011,6300967607,11592,13039
2018,9,36110360,226967.382545,7270,10410,10167,4364262744,10410,10167
2018,9,36110370,184954.33286599995,5681,8852,6004,2925915867,8852,6004
2018,9,36110380,76171.151854,3453,2811,1930,808314550,2811,1930
2018,9,36110390,56341.891598,2531,2128,1859,2838902554,2128,1859
2018,9,36110510,240585.30848100004,19088,22842,22927,14648213910,16898,17019
2018,9,36110515,794942.4848589998,43855,53476,53726,16633241997,39742,40075
2018,9,36110520,586502.181751,31689,39384,39486,25605452788,29011,29189
2018,9,36110530,378258.302359,23596,27309,27508,8806481346,20488,20706
2018,9,36110540,283173.5901200001,29658,35089,35309,9636708296,26038,26297
2018,9,36110550,419387.111933,27694,31894,32161,6913985685,23774,24063
2018,9,36110560,631699.2438589999,37723,45511,45738,11407001225,33680,33975
